,S1,S2,S3,S4,S5,S6,W1,W2,W3,W4,W5,W6
group,sut,sut,sut,sut,sut,sut,wild-type,wild-type,wild-type,wild-type,wild-type,wild-type
 Uridine 5'-diphosphoglucose,145319.8851,69676.12534,119726.9503,127701.0573,211932.0184,109464.8655,127809.8972,141349.9839,13233.39264,151969.7257,150876.0458,211621.3549
Uridine diphosphate-N-acetylgalactosamine,741559.3814,1515954.682,220123.9258,219204.2904,1801995.268,631598.5144,1554607.336,1887847.904,28033.04988,271215.3648,1271827.662,151296.3169
Uracil,39853.33862,34524.47289,35668.07157,22993.41639,46793.82823,43841.21025,58053.0103,54100.77882,31917.20855,83871.53791,73513.50736,92000.63394
Uric acid,41439.42673,26236.97251,41971.94612,29569.22217,46548.0154,45845.32951,29348.09374,33257.47928,18414.02144,44885.8384,29538.29269,35732.69369
Uridine,62048.17358,38546.84452,58305.30454,36689.83271,55447.61989,51796.98033,25652.45406,27886.83634,23417.63621,43921.87437,30430.12854,32953.40458
Uridine 5'-diphosphoglucuronic acid,171824.1275,131195.6819,182633.0237,173127.1705,284654.9343,141927.8634,169349.4676,232538.6135,17903.20505,182897.3316,187849.7356,263893.1235
Uridine 5'-monophosphate,20084.63669,8593.846197,12868.73448,17464.01944,36668.16876,32545.38978,12133.93435,23929.85659,6742.305711,5764.556194,19785.21999,15305.30775
Uridine 5'-triphosphate,1167463.839,1096438.778,1653665.242,1359222.143,1750319.306,1332774.039,1025315.391,1705689.264,220752.7724,1728140.846,1402375.549,1719639.714
Valine,14278.58586,11085.06216,13491.99489,11827.56819,19840.23248,15777.44518,7696.021211,10281.34567,5061.265082,8094.844069,10150.13228,9794.14503
Xanthine,336019.2896,262120.3053,361487.0337,279267.987,381996.6544,330104.5575,192638.9185,269727.6221,208312.8962,351156.1195,271218.5051,299593.042
,,,,,,,,,,,,
,,,,,,,,,,,,
"AMRT-MSMS= Accurate mass, Retention time and MSMS confirmed",,,,,,,,,,,,
